ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes,midPoint,G_R,m,o,h,a,ep,seed
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,40
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,50
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,50
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,50
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,50
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,50
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,50
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,50
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,50
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,50
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,50
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,50
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,50
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,80
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,80
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,80
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,80
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,80
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,80
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,80
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,80
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,80
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,80
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,80
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,80
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,880
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,880
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,880
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,880
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,880
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,880
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,880
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,880
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,880
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,880
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,880
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,880
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,70
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,70
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,70
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,70
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,70
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,70
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,70
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,70
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,70
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,70
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,70
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,70
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,780
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,780
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,780
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,780
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,780
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,780
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,780
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,780
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,780
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,780
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,780
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,780
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,90
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,90
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,90
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,90
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,90
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,90
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,90
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,90
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,90
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,90
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,90
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,90
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,220
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,220
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,220
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,220
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,220
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,220
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,220
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,220
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,220
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,220
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,220
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,220
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,110
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,110
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,110
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,110
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,110
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,110
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,110
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,110
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,110
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,110
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,110
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,110
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,9
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,9
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,9
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,9
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,9
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,9
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,9
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,9
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,9
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,9
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,9
