ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes,midPoint,G_R,m,o,h,a,ep,seed
5,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,3
6,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,3
7,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,3
8,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,3
9,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,3
10,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,3
11,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,3
12,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,3
13,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,3
14,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,3
1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,4
2,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,4
3,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,4
4,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,4
5,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,4
6,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,4
7,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,4
8,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,4
9,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,4
10,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,4
11,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,4
12,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,4
13,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,4
14,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,4
1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,5
2,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,5
3,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,5
4,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,5
5,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,5
6,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,5
7,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,5
8,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,5
9,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,5
10,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,5
11,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,5
12,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,5
13,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,5
14,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,5
1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,6
2,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,6
3,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,6
4,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,6
5,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,6
6,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,6
7,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,6
8,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,6
9,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,6
10,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,6
11,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,6
12,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,6
13,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,6
14,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,6
1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,7
2,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,7
3,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,7
4,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,7
5,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,7
6,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,7
7,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,7
8,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,7
9,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,7
10,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,7
11,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,7
12,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,7
13,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,7
14,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,7



1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
2,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
3,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
4,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
5,80,40,5,0|20|0,79|20|0,70|20|0-70|30|0-70|10|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
6,80,40,5,0|20|0,79|20|0,70|20|0-70|30|0-70|10|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
7,160,80,5,0|40|0,159|40|0,140|20|0-140|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
8,160,80,5,0|40|0,159|40|0,140|20|0-140|40|0-150|60|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
9,320,160,5,0|80|0,319|80|0,300|30|0-300|80|0-300|100|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
10,320,160,5,0|80|0,319|80|0,300|30|0-300|80|0-300|100|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
11,600,300,5,0|150|0,599|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
12,600,300,5,0|150|0,599|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
13,800,400,5,0|200|0,799|200|0,700|300|0-700|200|0-700|250|0,34-33-33,8,x,1-1-1,0,1,5,0,2500,0
14,800,400,5,0|200|0,799|200|0,700|300|0-700|200|0-700|250|0,34-33-33,8,x,1-1-1,1,1,2,0,2500,0
15,1000,600,5,0|300|0,999|300|0,900|300|0-900|400|0-900|200|0,34-33-33,8,x,1-1-1,0,1,5,0,2500,0
16,1000,600,5,0|300|0,999|300|0,900|300|0-900|400|0-900|200|0,34-33-33,8,x,1-1-1,1,1,2,0,2500,0
1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
2,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
3,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
4,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
5,80,40,5,0|20|0,79|20|0,70|20|0-70|30|0-70|10|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
6,80,40,5,0|20|0,79|20|0,70|20|0-70|30|0-70|10|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
7,160,80,5,0|40|0,159|40|0,140|20|0-140|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
8,160,80,5,0|40|0,159|40|0,140|20|0-140|40|0-150|60|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
9,320,160,5,0|80|0,319|80|0,300|30|0-300|80|0-300|100|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
10,320,160,5,0|80|0,319|80|0,300|30|0-300|80|0-300|100|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
11,600,300,5,0|150|0,599|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
12,600,300,5,0|150|0,599|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
13,800,400,5,0|200|0,799|200|0,700|300|0-700|200|0-700|250|0,34-33-33,8,x,1-1-1,0,1,5,0,2500,0
14,800,400,5,0|200|0,799|200|0,700|300|0-700|200|0-700|250|0,34-33-33,8,x,1-1-1,1,1,2,0,2500,0
15,1000,600,5,0|300|0,999|300|0,900|300|0-900|400|0-900|200|0,34-33-33,8,x,1-1-1,0,1,5,0,2500,0
16,1000,600,5,0|300|0,999|300|0,900|300|0-900|400|0-900|200|0,34-33-33,8,x,1-1-1,1,1,2,0,2500,0
1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
2,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
3,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
4,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
5,80,40,5,0|20|0,79|20|0,70|20|0-70|30|0-70|10|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
6,80,40,5,0|20|0,79|20|0,70|20|0-70|30|0-70|10|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
7,160,80,5,0|40|0,159|40|0,140|20|0-140|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
8,160,80,5,0|40|0,159|40|0,140|20|0-140|40|0-150|60|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
9,320,160,5,0|80|0,319|80|0,300|30|0-300|80|0-300|100|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
10,320,160,5,0|80|0,319|80|0,300|30|0-300|80|0-300|100|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
11,600,300,5,0|150|0,599|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,2500,0
12,600,300,5,0|150|0,599|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,1,1,2,0,2500,0
13,800,400,5,0|200|0,799|200|0,700|300|0-700|200|0-700|250|0,34-33-33,8,x,1-1-1,0,1,5,0,2500,0
14,800,400,5,0|200|0,799|200|0,700|300|0-700|200|0-700|250|0,34-33-33,8,x,1-1-1,1,1,2,0,2500,0
15,1000,600,5,0|300|0,999|300|0,900|300|0-900|400|0-900|200|0,34-33-33,8,x,1-1-1,0,1,5,0,2500,0
16,1000,600,5,0|300|0,999|300|0,900|300|0-900|400|0-900|200|0,34-33-33,8,x,1-1-1,1,1,2,0,2500,0
